Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0046,1.600,1.600,18.656250,18.656250
2,1.0008,2.000,2.000,19.375000,19.375000
3,1.0052,1.800,1.800,19.468750,19.468750
4,1.0040,1.900,1.900,19.765625,19.765625
5,1.0053,2.000,2.000,19.953125,19.953125
6,1.0042,2.000,2.000,20.281250,20.281250
7,1.0053,1.800,1.800,20.343750,20.343750
8,1.0054,2.700,2.700,20.421875,20.421875
9,1.0050,2.500,2.500,20.468750,20.468750
10,1.0053,2.600,2.600,20.515625,20.515625
