Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0007,1.000,1.000,18.718750,18.718750
2,1.0052,1.100,1.100,19.343750,19.343750
3,1.0036,1.200,1.200,19.562500,19.562500
4,1.0053,0.700,0.700,19.578125,19.578125
5,1.0043,1.100,1.100,19.812500,19.812500
6,1.0022,1.900,1.900,19.859375,19.859375
7,1.0032,1.800,1.800,20.015625,20.015625
8,1.0024,1.800,1.800,20.015625,20.015625
9,1.0048,1.200,1.200,20.078125,20.078125
10,1.0052,1.700,1.700,20.078125,20.078125
