Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0043,1.000,1.000,18.156250,18.156250
2,1.0054,1.100,1.100,18.671875,18.671875
3,1.0038,1.000,1.000,19.015625,19.015625
4,1.0040,1.200,1.200,19.250000,19.250000
5,1.0052,1.000,1.000,19.546875,19.546875
6,1.0050,0.900,0.900,19.593750,19.593750
7,1.0053,1.100,1.100,19.890625,19.890625
8,1.0052,1.100,1.100,19.906250,19.906250
9,1.0017,0.700,0.700,20.000000,20.000000
10,1.0020,1.100,1.100,20.000000,20.000000
