Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,3.0277,93.567,100.000,16.343750,16.500000
2,4.0336,81.600,100.000,16.886719,16.921875
3,3.0277,98.800,100.000,17.104167,17.140625
4,3.0247,89.700,100.000,17.265625,17.281250
5,3.0278,94.167,100.000,17.447917,17.453125
6,3.0179,90.867,100.000,17.500000,17.500000
7,3.0210,94.700,100.000,17.578125,17.609375
8,3.0278,95.700,100.000,17.718750,17.734375
9,3.0268,90.233,100.000,17.770833,17.781250
10,3.0263,96.300,100.000,17.859375,17.859375
