Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0053,2.100,2.100,21.437500,21.437500
2,1.0004,3.600,3.600,22.843750,22.843750
3,1.0053,3.800,3.800,22.968750,22.968750
4,1.0053,3.900,3.900,23.000000,23.000000
5,1.0054,3.800,3.800,23.015625,23.015625
6,1.0013,3.800,3.800,23.031250,23.031250
7,1.0043,3.800,3.800,23.312500,23.312500
8,1.0018,3.900,3.900,23.359375,23.359375
9,1.0053,3.600,3.600,23.421875,23.421875
10,1.0028,3.600,3.600,23.421875,23.421875
