Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,5.0388,97.900,100.000,43.796875,44.359375
2,14.0900,95.150,100.000,44.802455,45.671875
3,7.0483,99.700,100.000,46.332589,46.640625
4,4.0297,96.400,100.000,47.273438,47.281250
5,7.0571,94.414,100.000,47.683036,47.843750
6,5.0324,84.660,100.000,48.078125,48.078125
7,7.0570,91.814,100.000,48.569196,48.734375
8,5.0487,95.020,100.000,49.321875,49.437500
9,5.0473,90.460,100.000,49.634375,49.656250
10,9.0491,93.633,100.000,49.774306,49.906250
