Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0051,52.1000,52.1000,19.8906,19.8906
2,1.0019,53.0000,53.0000,20.6094,20.6094
3,1.0027,56.1000,56.1000,21.2812,21.2812
4,1.0034,56.0000,56.0000,21.7031,21.7031
5,1.0026,55.0000,55.0000,21.9219,21.9219
6,1.0052,54.6000,54.6000,22.0156,22.0156
7,1.0010,55.0000,55.0000,22.0625,22.0625
8,1.0053,54.6000,54.6000,22.0938,22.0938
9,1.0052,54.0000,54.0000,22.1094,22.1094
10,1.0008,54.5000,54.5000,22.1094,22.1094
