Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0066,10.400,10.400,20.531250,20.531250
2,1.0024,12.700,12.700,21.375000,21.375000
3,1.0042,20.400,20.400,21.781250,21.781250
4,1.0030,15.000,15.000,22.062500,22.062500
5,1.0062,21.200,21.200,22.296875,22.296875
6,1.0020,14.600,14.600,22.468750,22.468750
7,1.0023,15.400,15.400,22.656250,22.656250
8,1.0057,20.700,20.700,22.671875,22.671875
9,1.0052,18.700,18.700,22.734375,22.734375
10,1.0061,22.500,22.500,22.890625,22.890625
