Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,3.0720,70.0000,100.8000,16.9583,17.0000
2,2.0429,97.5000,98.4000,17.0000,17.0000
3,2.0482,88.6500,100.7000,17.0000,17.0000
4,3.0359,68.7667,100.9000,17.0833,17.1250
5,2.0266,98.3500,99.4000,17.1250,17.1250
6,2.0329,85.6500,100.3000,17.1250,17.1250
7,2.0520,92.7000,99.4000,17.1250,17.1250
8,2.0264,91.2000,99.5000,17.1250,17.1250
9,2.0272,96.7000,100.4000,17.1250,17.1250
10,2.0316,88.1000,99.4000,17.1250,17.1250
