Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,3.0268,73.1000,99.9000,31.0091,31.0508
2,3.0222,84.4667,99.9000,31.5924,31.6758
3,3.0418,75.9333,100.1000,31.8008,31.8008
4,3.0417,74.1333,101.1000,31.9258,31.9258
5,3.0266,91.5667,99.7000,31.9258,31.9258
6,3.0363,82.9000,100.3000,31.9258,31.9258
7,3.0318,74.8333,100.5000,31.9258,31.9258
8,3.0242,89.1000,100.0000,31.9258,31.9258
9,3.0218,77.4667,99.4000,31.9258,31.9258
10,4.0716,80.4250,100.6000,31.9258,31.9258
