Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0051,32.9000,32.9000,23.8750,23.8750
2,1.0060,32.8000,32.8000,23.8750,23.8750
3,1.0020,33.9000,33.9000,23.8750,23.8750
4,1.0010,34.0000,34.0000,23.8750,23.8750
5,1.0024,33.9000,33.9000,23.8750,23.8750
6,1.0102,33.0000,33.0000,23.8750,23.8750
7,1.0017,33.0000,33.0000,23.8750,23.8750
8,1.0067,32.8000,32.8000,23.8750,23.8750
9,1.0082,33.8000,33.8000,23.8750,23.8750
10,1.0033,34.9000,34.9000,23.8750,23.8750
