Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0043,23.9000,23.9000,26.4883,26.4883
2,1.0057,28.9000,28.9000,27.4883,27.4883
3,1.0016,22.0000,22.0000,27.6133,27.6133
4,1.0016,28.9000,28.9000,27.6133,27.6133
5,1.0038,26.0000,26.0000,27.6133,27.6133
6,1.0007,38.9000,38.9000,27.6133,27.6133
7,1.0038,28.8000,28.8000,27.6133,27.6133
8,1.0072,29.8000,29.8000,27.6133,27.6133
9,1.0075,24.8000,24.8000,27.6133,27.6133
10,1.0059,29.9000,29.9000,27.6133,27.6133
