Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,6.0058,87.4500,100.0000,12.6250,12.6250
2,6.0135,88.4000,101.0000,12.7500,12.7500
3,6.0179,88.0167,99.9000,12.7500,12.7500
4,6.0125,89.2500,100.0000,12.7500,12.7500
5,6.0099,89.2500,100.7000,12.7500,12.7500
6,6.0112,89.5833,101.0000,12.7500,12.7500
7,6.0154,89.9333,100.0000,12.7500,12.7500
8,6.0153,89.1833,100.5000,12.7500,12.7500
9,6.0152,89.3833,100.7000,12.7500,12.7500
10,6.0200,89.3167,100.6000,12.7500,12.7500
