Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,3.0203,96.6000,100.0000,15.0104,15.2656
2,4.0469,80.1500,99.9000,16.2930,16.3594
3,4.0363,81.7250,100.0000,16.6523,16.6719
4,3.0322,95.3333,99.9000,16.8750,16.8750
5,3.0194,96.6667,99.9000,16.9896,17.0156
6,4.0518,74.8000,99.8000,17.0859,17.0938
7,3.0251,97.9333,99.9000,17.2500,17.2500
8,3.0258,93.8333,99.9000,17.3125,17.3281
9,3.0192,93.4333,100.0000,17.4062,17.4219
10,3.0291,99.9667,100.0000,17.5573,17.5625
