Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,4.0341,95.1000,100.0000,40.3789,40.4688
2,5.0334,82.1000,100.0000,43.1719,43.4375
3,5.0382,84.6200,100.0000,43.6594,43.6875
4,4.0253,96.8000,99.9000,44.2227,44.2500
5,4.0323,99.4000,100.0000,44.8828,44.8906
6,5.0382,80.8600,100.0000,46.2406,46.2656
7,5.0406,88.7800,100.0000,46.3094,46.3125
8,6.0428,98.9833,99.9000,47.0078,47.3281
9,5.0427,90.3200,100.0000,47.6094,47.6406
10,5.0314,82.0000,99.9000,48.0625,48.0625
