Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,4.0203,88.3500,99.9000,13.8711,14.1250
2,4.0141,89.1250,99.9000,14.4102,14.4531
3,4.0163,88.9750,99.8000,14.6523,14.6719
4,4.0200,88.6250,100.4000,14.7461,14.7812
5,4.0161,88.3500,99.9000,14.8555,14.8594
6,4.0149,87.5000,100.9000,14.9219,14.9375
7,4.0189,86.8750,100.1000,15.0156,15.0156
8,4.0209,87.0750,100.2000,15.0156,15.0156
9,4.0212,87.0750,100.9000,15.0352,15.0469
10,4.0125,86.8500,100.4000,15.1367,15.1406
