Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,6.0657,87.3167,100.0000,40.5612,40.6445
2,6.0426,83.7167,100.2000,41.0404,41.1445
3,7.0361,90.8143,101.0000,41.3945,41.5195
4,5.0154,91.6400,100.0000,41.5195,41.5195
5,6.0185,94.0500,100.6000,41.5195,41.5195
6,5.0354,97.2800,100.0000,41.6195,41.6445
7,6.0703,86.2333,100.5000,41.6445,41.6445
8,5.0848,96.3800,100.4000,41.6445,41.6445
9,6.0614,92.9167,99.6000,41.6445,41.6445
10,5.0603,98.6200,100.4000,41.6445,41.6445
