Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0012,73.9000,73.9000,26.1602,26.1602
2,1.0011,69.9000,69.9000,26.2852,26.2852
3,1.0009,71.0000,71.0000,26.2852,26.2852
4,1.0012,70.9000,70.9000,26.2852,26.2852
5,1.0010,71.9000,71.9000,26.2852,26.2852
6,1.0030,69.0000,69.0000,26.2852,26.2852
7,1.0011,69.9000,69.9000,26.2852,26.2852
8,1.0055,70.6000,70.6000,26.2852,26.2852
9,1.0035,68.9000,68.9000,26.2852,26.2852
10,1.0032,70.0000,70.0000,26.2852,26.2852
