Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,4.1347,96.4500,100.3000,18.7891,18.8203
2,5.0365,80.7800,99.4000,18.8203,18.8203
3,5.0945,84.4200,101.1000,18.8203,18.8203
4,5.0609,87.9400,99.4000,18.8203,18.8203
5,4.1469,93.2500,101.4000,18.8203,18.8203
6,4.1080,98.2500,100.0000,18.8203,18.8203
7,5.0332,81.0600,100.4000,18.8203,18.8203
8,5.1618,81.4800,102.0000,18.8203,18.8203
9,5.0470,82.4800,100.4000,18.8203,18.8203
10,5.0284,86.5800,100.0000,18.8203,18.8203
