Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0006,14.0000,14.0000,26.5078,26.5078
2,1.0004,12.0000,12.0000,26.5078,26.5078
3,1.0013,13.0000,13.0000,26.5078,26.5078
4,1.0016,12.0000,12.0000,26.5078,26.5078
5,1.0010,12.0000,12.0000,26.5078,26.5078
6,1.0014,13.0000,13.0000,26.5078,26.5078
7,1.0013,12.0000,12.0000,26.5078,26.5078
8,1.0012,12.0000,12.0000,26.6328,26.6328
9,1.0013,11.0000,11.0000,26.6328,26.6328
10,1.0009,12.0000,12.0000,26.6328,26.6328
