Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,5.0907,99.9400,101.4000,40.5508,40.6758
2,6.0396,87.6833,99.8000,41.0716,41.1758
3,5.0373,88.8800,99.8000,41.3008,41.3008
4,5.0295,88.7600,100.3000,41.4258,41.4258
5,5.0282,90.0000,100.0000,41.4258,41.4258
6,6.0404,89.4833,101.4000,41.5299,41.5508
7,7.0793,91.9857,100.4000,41.5508,41.5508
8,6.0532,85.1333,100.4000,41.5508,41.5508
9,6.0563,85.8667,100.4000,41.5508,41.5508
10,6.0661,84.5000,100.6000,41.5508,41.5508
