Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0013,75.9000,75.9000,26.3164,26.3164
2,1.0147,70.0000,70.0000,26.4414,26.4414
3,1.0089,67.9000,67.9000,26.4414,26.4414
4,1.0010,71.9000,71.9000,26.4414,26.4414
5,1.0021,69.0000,69.0000,26.4414,26.4414
6,1.0041,71.9000,71.9000,26.4414,26.4414
7,1.0006,71.0000,71.0000,26.4414,26.4414
8,1.0033,71.9000,71.9000,26.4414,26.4414
9,1.0118,70.4000,70.4000,26.4414,26.4414
10,1.0082,74.0000,74.0000,26.4414,26.4414
