Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0019,15.000,15.000,31.621094,31.621094
2,1.0005,30.000,30.000,32.621094,32.621094
3,1.0006,10.000,10.000,32.621094,32.621094
4,1.0005,13.000,13.000,32.621094,32.621094
5,1.0010,14.000,14.000,32.621094,32.621094
6,1.0019,21.000,21.000,32.621094,32.621094
7,1.0014,11.000,11.000,32.621094,32.621094
8,1.0008,17.000,17.000,32.621094,32.621094
9,1.0005,13.000,13.000,32.621094,32.621094
10,1.0006,14.000,14.000,32.621094,32.621094
