Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0013,29.0000,29.0000,26.1836,26.1836
2,1.0011,26.0000,26.0000,26.3516,26.3516
3,1.0007,18.0000,18.0000,26.3516,26.3516
4,1.0007,22.0000,22.0000,26.3516,26.3516
5,1.0020,36.0000,36.0000,26.3516,26.3516
6,1.0020,22.0000,22.0000,26.3516,26.3516
7,1.0021,61.9000,61.9000,26.3516,26.3516
8,0.9997,42.0000,42.0000,26.3516,26.3516
9,1.0008,28.0000,28.0000,26.3516,26.3516
10,1.0004,15.0000,15.0000,26.3516,26.3516
