Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,15.0354,92.827,100.000,14.046875,14.046875
2,15.0240,97.513,101.000,14.324219,14.324219
3,15.0342,96.733,101.000,14.324219,14.324219
4,15.0250,95.987,100.000,14.324219,14.324219
5,15.0254,97.507,101.000,14.324219,14.324219
6,15.0317,96.400,100.000,14.324219,14.324219
7,15.0372,97.320,100.800,14.324219,14.324219
8,15.0250,96.607,100.900,14.324219,14.324219
9,15.0230,98.193,100.900,14.324219,14.324219
10,15.0443,96.947,100.900,14.324219,14.324219
