Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0050,6.200,6.200,29.964844,29.964844
2,1.0046,1.600,1.600,30.000000,30.000000
3,1.0079,4.600,4.600,30.000000,30.000000
4,1.0005,1.600,1.600,29.992188,29.992188
5,1.0131,3.100,3.100,29.996094,29.996094
6,1.0096,3.100,3.100,29.996094,29.996094
7,1.0124,1.500,1.500,29.996094,29.996094
8,1.0046,3.100,3.100,30.019531,30.019531
9,1.0096,4.600,4.600,29.996094,29.996094
10,1.0061,1.600,1.600,30.031250,30.031250
