Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0137,3.100,3.100,29.929688,29.929688
2,1.0071,1.500,1.500,29.953125,29.953125
3,1.0096,3.100,3.100,29.953125,29.953125
4,1.0137,3.100,3.100,29.953125,29.953125
5,1.0095,3.100,3.100,29.976562,29.976562
6,1.0075,3.100,3.100,29.957031,29.957031
7,1.0123,1.500,1.500,29.980469,29.980469
8,1.0060,1.600,1.600,29.957031,29.957031
9,1.0098,3.100,3.100,29.980469,29.980469
10,1.0120,1.500,1.500,29.996094,29.996094
