Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0114,1.500,1.500,29.757812,29.757812
2,1.0066,0.000,0.000,29.781250,29.781250
3,1.0165,3.100,3.100,29.781250,29.781250
4,1.0012,3.100,3.100,29.781250,29.781250
5,1.0072,1.500,1.500,29.781250,29.781250
6,1.0137,3.100,3.100,29.781250,29.781250
7,1.0135,3.100,3.100,29.785156,29.785156
8,1.0122,3.100,3.100,29.781250,29.781250
9,1.0149,1.500,1.500,29.785156,29.785156
10,1.0072,3.100,3.100,29.785156,29.785156
