Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,6.1124,97.700,100.100,27.322266,27.359375
2,6.1769,95.333,101.500,27.358724,27.367188
3,6.1510,94.100,101.500,27.352865,27.371094
4,6.1439,95.050,100.000,27.363281,27.375000
5,6.1657,90.383,101.600,27.432292,27.445312
6,6.1615,99.767,100.100,27.395833,27.402344
7,7.1298,92.643,101.600,27.407924,27.433594
8,6.1416,96.067,101.500,27.434245,27.437500
9,6.0863,93.783,100.100,27.432943,27.437500
10,6.1061,96.367,100.100,27.438151,27.464844
