Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0027,6.200,6.200,32.800781,32.800781
2,1.0066,4.700,4.700,32.910156,32.910156
3,1.0090,7.800,7.800,32.832031,32.832031
4,1.0102,6.200,6.200,32.832031,32.832031
5,1.0040,7.800,7.800,32.828125,32.828125
6,1.0133,6.200,6.200,32.769531,32.769531
7,1.0101,4.700,4.700,32.839844,32.839844
8,1.0127,9.200,9.200,32.839844,32.839844
9,1.0036,7.800,7.800,32.851562,32.851562
10,1.0133,6.200,6.200,32.765625,32.765625
