Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,7.1766,88.114,101.500,44.543527,45.234375
2,7.2073,89.957,100.000,44.929688,45.179688
3,6.1586,98.700,100.100,45.061198,45.617188
4,8.1960,87.688,100.100,44.993652,45.429688
5,7.1923,96.657,100.100,45.044085,45.765625
6,7.1933,98.243,101.600,45.185826,45.722656
7,12.3803,96.725,100.000,45.045898,45.457031
8,7.1818,88.386,100.100,45.128348,45.554688
9,7.2100,97.371,100.100,45.040179,45.386719
10,6.1258,98.717,101.500,45.080078,45.406250
