Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,2.0249,52.300,98.400,30.478516,30.535156
2,2.0114,61.700,98.400,30.500000,30.542969
3,2.0285,50.000,95.300,30.517578,30.523438
4,2.0163,51.550,96.900,30.496094,30.527344
5,2.0238,51.550,96.900,30.492188,30.539062
6,2.0276,50.000,96.900,30.498047,30.554688
7,2.0181,51.550,98.400,30.544922,30.554688
8,2.0193,51.500,98.400,30.476562,30.476562
9,2.0234,50.800,96.900,30.511719,30.574219
10,2.0394,50.750,98.400,30.498047,30.546875
