Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0076,10.900,10.900,31.917969,31.917969
2,1.0071,20.000,20.000,32.035156,32.035156
3,1.0090,9.400,9.400,32.027344,32.027344
4,1.0028,14.100,14.100,32.011719,32.011719
5,1.0019,17.200,17.200,32.031250,32.031250
6,1.0087,12.300,12.300,32.000000,32.000000
7,1.0136,16.900,16.900,31.960938,31.960938
8,1.0099,10.800,10.800,32.125000,32.125000
9,1.0124,10.900,10.900,32.093750,32.093750
10,1.0116,12.500,12.500,32.101562,32.101562
