Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,0.9999,26.0000,26.0000,26.0625,26.0625
2,1.0008,24.0000,24.0000,26.2227,26.2227
3,1.0007,19.0000,19.0000,26.2227,26.2227
4,1.0009,31.0000,31.0000,26.2227,26.2227
5,1.0012,26.0000,26.0000,26.3477,26.3477
6,1.0015,24.0000,24.0000,26.3477,26.3477
7,0.9993,59.0000,59.0000,26.3477,26.3477
8,1.0011,16.0000,16.0000,26.3477,26.3477
9,1.0006,61.0000,61.0000,26.3477,26.3477
10,1.0011,21.0000,21.0000,26.3477,26.3477
