Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,14.0265,93.1857,101.0000,14.0742,14.0742
2,14.0210,94.2071,100.0000,14.1992,14.1992
3,14.0229,94.9143,101.0000,14.1992,14.1992
4,14.0308,95.2929,101.0000,14.1992,14.1992
5,14.0235,97.9429,101.0000,14.1992,14.1992
6,14.0260,96.0929,101.0000,14.1992,14.1992
7,14.0238,96.7500,100.8000,14.1992,14.1992
8,14.0223,97.0357,101.0000,14.1992,14.1992
9,14.0272,96.5857,100.0000,14.1992,14.1992
10,14.0209,96.4571,101.0000,14.1992,14.1992
